created_at,text
2021-12-04 7:20:28,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:20:27,RT @philiphengg: Tae really told the cameraman to hand his jacket over to us 🥲 #PTD_ON_STAGE_LA https://t.co/sR0cebQ5p4
2021-12-04 7:20:21,"RT @BTSxSasha: #PTD_ON_STAGE_LA_Day4 

ME: Do you think we were loud?

SOFI STAFF: I’ve worked a lot of events…NFL, Kaskade, Rolling Stones…"
2021-12-04 7:20:19,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:19,"RT @BTSxSasha: #PTD_ON_STAGE_LA_Day4 

ME: Do you think we were loud?

SOFI STAFF: I’ve worked a lot of events…NFL, Kaskade, Rolling Stones…"
2021-12-04 7:20:17,"RT @itsmejulesss: They will never let Jimin live this down! The knowing look between Yoongi and Jungkook as it's about to start 🤣
#PTD_ON_S…"
2021-12-04 7:20:17,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:16,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:16,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:15,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:15,"RT @BTSChartDailyx: Tori Kelly via Instagram Stories (2)

#BTS #PTD_ON_STAGE_LA 
@BTS_twt https://t.co/ciXE7vrELI"
2021-12-04 7:20:15,"RT @reiz_i: #SUGA 🐱🎤
#PTD_ON_STAGE_LA  
@BTS_twt 

📷 :) @ vop3pics https://t.co/Zy4poDcjZc"
2021-12-04 7:20:15,"RT @QJeyZeee: Happy birthday World Wide Handsome Jin!!!! 🎉🎊🎂
#BTSARMY loves you so much! I love you Jin Jin Jin!!! 
Eat well and rest well…"
2021-12-04 7:20:13,"RT @reiz_i: #SUGA 🐱🎤
#PTD_ON_STAGE_LA  
@BTS_twt 

📷 :) @ vop3pics https://t.co/Zy4poDcjZc"
2021-12-04 7:20:13,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:11,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:10,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:20:08,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:20:08,"RT @BTSPressData: According to BigHit, #PTD_ON_STAGE_LA has attracted a combined audience of 214,000 from four nights. Total 18,000 fans wh…"
2021-12-04 7:20:08,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:06,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:06,"RT @irenouken: tae in that red jumpsuit was everything 

#PTD_ON_STAGE_LA  #PTD_ON_STAGE_LA_Day3 https://t.co/ny4ai50wWM"
2021-12-04 7:20:04,"RT @Armyyyy0507: “We are the bullet and you guys are the  proof” NAMJOON 😭😭😭😭😭😭😭😭😭 

#PTD_ON_STAGE_LA  #방탄소년단  #PTD_ON_STAGE @BTS_twt https…"
2021-12-04 7:20:03,"RT @jiminishia: jungkook did it again and hit someone with the balloon 😭😭😭 poor bb had to bow😭😭😭
#bts #PTD_On_Stage_LA https://t.co/IwXVn2e…"
2021-12-04 7:20:02,RT @philiphengg: Another pic of me in the jacket…I WAS SHAKING WHEN I WORE IT #PTD_ON_STAGE_LA https://t.co/GnxBfBiJ4Q
2021-12-04 7:20:02,RT @bellapoarch: So this is what heaven is like😭✨ #PTD_ON_STAGE_LA https://t.co/kwxdh4hMDB
2021-12-04 7:20:02,"RT @jjkslilbitch: JINS REACTION TO THE FIRST BIRTHDAY PROJECT 

#PTD_ON_STAGE_LA #BTS https://t.co/OISeDfxRRP"
2021-12-04 7:20:02,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:02,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:20:01,RT @babysun_hsw: jk and his little flower 🌸🥺 #BTS #BTSinLA #PTD_ON_STAGE_LA #정국 #JUNGKOOK https://t.co/s8q5sYpRYD
